,GEOID,tract,NTA2020,NTAName,Total Estimate,White alone Estimate,Black or African American alone Estimate,American Indian and Alaska Native alone Estimate,Asian alone Estimate,Native Hawaiian and Other Pacific Islander alone Estimate,Some Other Race alone Estimate,Two or More Races Estimate,Two races including Some Other Race Estimate,"Two races excluding Some Other Race, and three or more races Estimate",Median Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars)
141,36061023100,023100,MN0903,Hamilton Heights-Sugar Hill,6750.0,1418.0,2616.0,156.0,112.0,0.0,1814.0,634.0,19.0,615.0,32819.0
142,36061023400,023400,MN1002,Harlem (North),4945.0,1378.0,2873.0,0.0,57.0,0.0,456.0,181.0,13.0,168.0,30638.0
143,36061023502,023502,MN1002,Harlem (North),1845.0,255.0,1375.0,0.0,71.0,0.0,118.0,26.0,13.0,13.0,27440.0
144,36061024301,024301,MN1201,Washington Heights (South),5192.0,917.0,1644.0,21.0,187.0,0.0,1675.0,748.0,565.0,183.0,30144.0
145,36061024900,024900,MN1201,Washington Heights (South),957.0,288.0,99.0,0.0,67.0,0.0,395.0,108.0,35.0,73.0,29657.0
146,36061025500,025500,MN1201,Washington Heights (South),6173.0,2663.0,415.0,183.0,815.0,0.0,1280.0,817.0,531.0,286.0,36236.0
147,36061026500,026500,MN1202,Washington Heights (North),7618.0,4076.0,592.0,20.0,224.0,0.0,1650.0,1056.0,981.0,75.0,41781.0
148,36061026700,026700,MN1202,Washington Heights (North),1966.0,1307.0,70.0,23.0,91.0,0.0,370.0,105.0,105.0,0.0,26656.0
149,36061026900,026900,MN1202,Washington Heights (North),9586.0,1846.0,870.0,347.0,199.0,0.0,4315.0,2009.0,1442.0,567.0,20277.0
150,36061027100,027100,MN1202,Washington Heights (North),8916.0,4007.0,1027.0,113.0,270.0,0.0,2339.0,1160.0,912.0,248.0,33209.0
151,36061029300,029300,MN1203,Inwood,9559.0,2099.0,947.0,0.0,112.0,0.0,5353.0,1048.0,641.0,407.0,20798.0
152,36061029500,029500,MN1203,Inwood,7905.0,3850.0,933.0,0.0,357.0,0.0,2015.0,750.0,203.0,547.0,37303.0
153,36005000200,000200,BX0902,Soundview-Clason Point,4167.0,1272.0,1394.0,0.0,115.0,0.0,1082.0,304.0,203.0,101.0,33726.0
154,36005001600,001600,BX0902,Soundview-Clason Point,5917.0,1334.0,2353.0,192.0,76.0,0.0,1536.0,426.0,351.0,75.0,21081.0
155,36005001904,001904,BX0291,North & South Brother Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
156,36005002002,002002,BX0902,Soundview-Clason Point,4768.0,991.0,1801.0,108.0,0.0,0.0,1417.0,451.0,51.0,400.0,23477.0
157,36005002300,002300,BX0101,Mott Haven-Port Morris,4517.0,721.0,1608.0,12.0,0.0,0.0,1972.0,204.0,187.0,17.0,14014.0
158,36005002500,002500,BX0101,Mott Haven-Port Morris,5694.0,1051.0,1666.0,13.0,6.0,44.0,2576.0,338.0,216.0,122.0,15423.0
159,36005002701,002701,BX0101,Mott Haven-Port Morris,2672.0,327.0,873.0,0.0,0.0,0.0,1389.0,83.0,65.0,18.0,13016.0
160,36005002702,002702,BX0101,Mott Haven-Port Morris,4504.0,475.0,2089.0,18.0,0.0,0.0,1655.0,267.0,224.0,43.0,14352.0
161,36005003800,003800,BX0902,Soundview-Clason Point,1169.0,716.0,300.0,8.0,0.0,0.0,145.0,0.0,0.0,0.0,18716.0
162,36005003900,003900,BX0101,Mott Haven-Port Morris,6736.0,1153.0,1286.0,18.0,8.0,0.0,4045.0,226.0,226.0,0.0,19639.0
163,36005004001,004001,BX0903,Castle Hill-Unionport,1425.0,291.0,158.0,46.0,258.0,0.0,628.0,44.0,23.0,21.0,34219.0
164,36005004200,004200,BX0902,Soundview-Clason Point,7789.0,1790.0,3327.0,56.0,14.0,0.0,1970.0,632.0,611.0,21.0,26674.0
165,36005004400,004400,BX0901,Soundview-Bruckner-Bronx River,4401.0,412.0,1688.0,6.0,114.0,0.0,2093.0,88.0,60.0,28.0,13671.0
166,36005004600,004600,BX0902,Soundview-Clason Point,1854.0,597.0,596.0,0.0,0.0,0.0,315.0,346.0,346.0,0.0,16417.0
167,36005004800,004800,BX0901,Soundview-Bruckner-Bronx River,4757.0,398.0,938.0,114.0,145.0,0.0,2634.0,528.0,354.0,174.0,21674.0
168,36005005001,005001,BX0901,Soundview-Bruckner-Bronx River,4465.0,243.0,1275.0,113.0,113.0,0.0,2616.0,105.0,58.0,47.0,18046.0
169,36005005002,005002,BX0901,Soundview-Bruckner-Bronx River,6291.0,368.0,1810.0,6.0,63.0,44.0,3825.0,175.0,134.0,41.0,21383.0
170,36005005400,005400,BX0901,Soundview-Bruckner-Bronx River,5354.0,258.0,1515.0,301.0,154.0,0.0,2734.0,392.0,296.0,96.0,18535.0
171,36005006302,006302,BX0491,Yankee Stadium-Macombs Dam Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
172,36005006400,006400,BX0901,Soundview-Bruckner-Bronx River,3949.0,625.0,1242.0,0.0,204.0,0.0,1723.0,155.0,19.0,136.0,19141.0
173,36005006500,006500,BX0102,Melrose,5394.0,1593.0,2001.0,0.0,89.0,11.0,1258.0,442.0,374.0,68.0,18737.0
174,36005006800,006800,BX0901,Soundview-Bruckner-Bronx River,3147.0,103.0,651.0,70.0,693.0,0.0,1543.0,87.0,18.0,69.0,26100.0
175,36005007000,007000,BX0901,Soundview-Bruckner-Bronx River,4469.0,842.0,976.0,0.0,624.0,0.0,1804.0,223.0,48.0,175.0,25439.0
176,36005007200,007200,BX0903,Castle Hill-Unionport,6448.0,687.0,1140.0,136.0,2305.0,0.0,1722.0,458.0,172.0,286.0,25890.0
177,36005007400,007400,BX0903,Castle Hill-Unionport,3494.0,1171.0,1182.0,0.0,0.0,0.0,848.0,293.0,207.0,86.0,24987.0
178,36005007600,007600,BX0901,Soundview-Bruckner-Bronx River,5136.0,641.0,1402.0,0.0,497.0,0.0,2435.0,161.0,121.0,40.0,26723.0
179,36005007900,007900,BX0102,Melrose,6795.0,737.0,2666.0,0.0,0.0,71.0,2400.0,921.0,772.0,149.0,16117.0
180,36005008400,008400,BX0903,Castle Hill-Unionport,3017.0,814.0,818.0,0.0,314.0,0.0,838.0,233.0,160.0,73.0,35097.0
181,36005008500,008500,BX0202,Longwood,5416.0,818.0,1603.0,78.0,46.0,0.0,2433.0,438.0,335.0,103.0,17285.0
182,36005008600,008600,BX0903,Castle Hill-Unionport,3757.0,1312.0,1553.0,0.0,22.0,0.0,473.0,397.0,78.0,319.0,17891.0
183,36005008700,008700,BX0202,Longwood,6230.0,555.0,1609.0,26.0,28.0,0.0,3583.0,429.0,330.0,99.0,15396.0
184,36005009200,009200,BX0903,Castle Hill-Unionport,6005.0,888.0,1153.0,0.0,1051.0,0.0,2344.0,569.0,450.0,119.0,24398.0
185,36005011702,011702,BX0201,Hunts Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
186,36005011900,011900,BX0202,Longwood,5399.0,611.0,1744.0,36.0,13.0,0.0,2498.0,497.0,379.0,118.0,16120.0
187,36005012101,012101,BX0303,Crotona Park East,3072.0,312.0,1033.0,10.0,12.0,0.0,1389.0,316.0,250.0,66.0,19492.0
188,36005012102,012102,BX0202,Longwood,1338.0,123.0,360.0,0.0,0.0,0.0,654.0,201.0,67.0,134.0,11971.0
189,36005012500,012500,BX0303,Crotona Park East,3859.0,425.0,1150.0,53.0,8.0,0.0,1966.0,257.0,144.0,113.0,21647.0
190,36005012901,012901,BX0202,Longwood,4677.0,691.0,1766.0,0.0,5.0,28.0,1699.0,488.0,488.0,0.0,17485.0
191,36005013000,013000,BX1002,Throgs Neck-Schuylerville,1462.0,798.0,102.0,0.0,0.0,0.0,264.0,298.0,298.0,0.0,40114.0
192,36005013100,013100,BX0202,Longwood,5221.0,1040.0,2420.0,6.0,0.0,13.0,1518.0,224.0,39.0,185.0,23477.0
193,36005013200,013200,BX1002,Throgs Neck-Schuylerville,7367.0,3129.0,1670.0,0.0,497.0,0.0,1001.0,1070.0,644.0,426.0,50490.0
194,36005013300,013300,BX0301,Morrisania,5785.0,738.0,1920.0,132.0,296.0,0.0,1847.0,852.0,800.0,52.0,26863.0
195,36005013500,013500,BX0301,Morrisania,3633.0,367.0,1946.0,10.0,0.0,119.0,839.0,352.0,303.0,49.0,19942.0
196,36005014400,014400,BX1002,Throgs Neck-Schuylerville,5479.0,1320.0,2036.0,8.0,160.0,0.0,1570.0,385.0,330.0,55.0,15615.0
197,36005014900,014900,BX0301,Morrisania,4611.0,697.0,1641.0,0.0,0.0,0.0,2058.0,215.0,99.0,116.0,14764.0
198,36005015200,015200,BX1002,Throgs Neck-Schuylerville,2604.0,1347.0,252.0,0.0,66.0,0.0,612.0,327.0,191.0,136.0,38182.0
199,36005015300,015300,BX0303,Crotona Park East,4311.0,249.0,2243.0,0.0,44.0,0.0,1276.0,499.0,499.0,0.0,25180.0
200,36005015800,015800,BX1002,Throgs Neck-Schuylerville,1307.0,759.0,38.0,0.0,47.0,0.0,452.0,11.0,6.0,5.0,45481.0
201,36005016000,016000,BX1002,Throgs Neck-Schuylerville,3769.0,2579.0,151.0,0.0,201.0,0.0,795.0,43.0,0.0,43.0,39063.0
202,36005016200,016200,BX1002,Throgs Neck-Schuylerville,1839.0,974.0,127.0,0.0,71.0,0.0,546.0,121.0,57.0,64.0,40133.0
203,36005016400,016400,BX1002,Throgs Neck-Schuylerville,1019.0,797.0,17.0,0.0,109.0,0.0,84.0,12.0,12.0,0.0,37375.0
204,36005017100,017100,BX0492,Claremont Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
205,36005017500,017500,BX0401,Concourse-Concourse Village,6584.0,586.0,3779.0,99.0,16.0,0.0,2095.0,9.0,0.0,9.0,15954.0
206,36005017901,017901,BX0401,Concourse-Concourse Village,4955.0,888.0,1555.0,120.0,81.0,0.0,2092.0,219.0,129.0,90.0,20224.0
207,36005017902,017902,BX0403,Mount Eden-Claremont (West),3966.0,657.0,1315.0,53.0,10.0,0.0,1435.0,496.0,438.0,58.0,22317.0
208,36005018101,018101,BX0401,Concourse-Concourse Village,3451.0,182.0,1174.0,137.0,1.0,0.0,1813.0,144.0,44.0,100.0,20798.0
209,36005018102,018102,BX0401,Concourse-Concourse Village,5404.0,651.0,2320.0,0.0,116.0,0.0,2169.0,148.0,9.0,139.0,20521.0
210,36005018302,018302,BX0401,Concourse-Concourse Village,3503.0,254.0,1453.0,0.0,13.0,0.0,1430.0,353.0,26.0,327.0,28537.0
211,36005018400,018400,BX1002,Throgs Neck-Schuylerville,3997.0,2531.0,169.0,0.0,184.0,30.0,915.0,168.0,56.0,112.0,42109.0
212,36005019700,019700,BX0401,Concourse-Concourse Village,7126.0,1275.0,938.0,154.0,424.0,0.0,3828.0,507.0,348.0,159.0,15873.0
213,36005020200,020200,BX1001,Westchester Square,2387.0,335.0,375.0,7.0,468.0,0.0,1110.0,92.0,26.0,66.0,22083.0
214,36005020400,020400,BX1001,Westchester Square,3279.0,711.0,183.0,0.0,557.0,0.0,1454.0,374.0,255.0,119.0,28991.0
215,36005020601,020601,BX1001,Westchester Square,2469.0,418.0,229.0,0.0,782.0,0.0,746.0,294.0,127.0,167.0,23385.0
216,36005020900,020900,BX0403,Mount Eden-Claremont (West),4466.0,646.0,2028.0,0.0,12.0,7.0,1578.0,195.0,58.0,137.0,24318.0
217,36005021002,021002,BX0904,Parkchester,7958.0,808.0,3798.0,251.0,1277.0,0.0,1405.0,419.0,274.0,145.0,35753.0
218,36005021301,021301,BX0501,University Heights (South)-Morris Heights,1175.0,140.0,388.0,32.0,0.0,16.0,526.0,73.0,63.0,10.0,18977.0
219,36005021302,021302,BX0403,Mount Eden-Claremont (West),5369.0,599.0,2046.0,0.0,33.0,36.0,2406.0,249.0,18.0,231.0,14735.0
220,36005021501,021501,BX0501,University Heights (South)-Morris Heights,4478.0,517.0,1543.0,0.0,0.0,60.0,1788.0,570.0,541.0,29.0,22435.0
221,36005021800,021800,BX0901,Soundview-Bruckner-Bronx River,6010.0,882.0,1622.0,0.0,214.0,0.0,2828.0,464.0,322.0,142.0,23306.0
222,36005021900,021900,BX0403,Mount Eden-Claremont (West),857.0,89.0,132.0,9.0,23.0,0.0,520.0,84.0,84.0,0.0,18700.0
223,36005022101,022101,BX0403,Mount Eden-Claremont (West),3908.0,480.0,641.0,0.0,193.0,0.0,2334.0,260.0,11.0,249.0,17500.0
224,36005022102,022102,BX0403,Mount Eden-Claremont (West),5433.0,724.0,678.0,114.0,19.0,159.0,2867.0,872.0,804.0,68.0,17555.0
225,36005022300,022300,BX0403,Mount Eden-Claremont (West),5168.0,1105.0,844.0,43.0,10.0,0.0,2479.0,687.0,458.0,229.0,15623.0
226,36005022403,022403,BX1101,Pelham Parkway-Van Nest,2920.0,686.0,773.0,3.0,57.0,0.0,1277.0,124.0,97.0,27.0,29270.0
227,36005022404,022404,BX1101,Pelham Parkway-Van Nest,4384.0,1025.0,1144.0,145.0,288.0,0.0,1681.0,101.0,58.0,43.0,33921.0
228,36005022500,022500,BX0403,Mount Eden-Claremont (West),8937.0,1317.0,2654.0,24.0,78.0,0.0,3397.0,1467.0,1368.0,99.0,17822.0
229,36005022702,022702,BX0403,Mount Eden-Claremont (West),1494.0,258.0,177.0,25.0,82.0,0.0,905.0,47.0,42.0,5.0,17036.0
230,36005022703,022703,BX0403,Mount Eden-Claremont (West),1858.0,719.0,471.0,0.0,60.0,0.0,441.0,167.0,94.0,73.0,34333.0
231,36005022800,022800,BX1101,Pelham Parkway-Van Nest,6238.0,1768.0,1506.0,0.0,761.0,0.0,1614.0,589.0,122.0,467.0,37415.0
232,36005022902,022902,BX0403,Mount Eden-Claremont (West),3416.0,739.0,997.0,0.0,52.0,0.0,1077.0,551.0,518.0,33.0,28571.0
233,36005023200,023200,BX1101,Pelham Parkway-Van Nest,2382.0,898.0,362.0,44.0,187.0,0.0,791.0,100.0,100.0,0.0,25432.0
234,36005023301,023301,BX0502,Mount Hope,3855.0,216.0,1678.0,23.0,73.0,0.0,1549.0,316.0,147.0,169.0,20471.0
235,36005023600,023600,BX1101,Pelham Parkway-Van Nest,1609.0,492.0,289.0,5.0,113.0,0.0,602.0,108.0,80.0,28.0,26776.0
236,36005023704,023704,BX0503,Fordham Heights,3838.0,259.0,717.0,21.0,0.0,0.0,2652.0,189.0,79.0,110.0,16312.0
237,36005023900,023900,BX0503,Fordham Heights,7947.0,795.0,2478.0,7.0,97.0,0.0,4055.0,515.0,131.0,384.0,17287.0
238,36005024100,024100,BX0502,Mount Hope,6546.0,1281.0,2198.0,0.0,253.0,0.0,2438.0,376.0,14.0,362.0,19265.0
239,36005024300,024300,BX0501,University Heights (South)-Morris Heights,5467.0,543.0,1047.0,133.0,75.0,66.0,2756.0,847.0,740.0,107.0,19580.0
240,36005024400,024400,BX1102,Morris Park,2015.0,832.0,137.0,8.0,60.0,0.0,625.0,353.0,30.0,323.0,32444.0
241,36005024501,024501,BX0501,University Heights (South)-Morris Heights,4804.0,213.0,1298.0,0.0,76.0,117.0,2621.0,479.0,272.0,207.0,15056.0
242,36005024502,024502,BX0501,University Heights (South)-Morris Heights,3632.0,965.0,1079.0,73.0,0.0,0.0,1515.0,0.0,0.0,0.0,23381.0
243,36005024600,024600,BX1102,Morris Park,2095.0,904.0,130.0,0.0,350.0,0.0,563.0,148.0,148.0,0.0,37338.0
244,36005024800,024800,BX1102,Morris Park,3178.0,1972.0,258.0,0.0,364.0,0.0,463.0,121.0,65.0,56.0,39856.0
245,36005024900,024900,BX0501,University Heights (South)-Morris Heights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
246,36005025000,025000,BX1102,Morris Park,2604.0,1714.0,186.0,36.0,390.0,0.0,242.0,36.0,33.0,3.0,42784.0
247,36005025100,025100,BX0501,University Heights (South)-Morris Heights,6430.0,745.0,1631.0,0.0,743.0,0.0,2907.0,404.0,203.0,201.0,22905.0
248,36005025200,025200,BX1102,Morris Park,2677.0,1345.0,210.0,67.0,325.0,0.0,486.0,244.0,123.0,121.0,32401.0
249,36005025300,025300,BX0701,University Heights (North)-Fordham,6155.0,546.0,1017.0,76.0,148.0,10.0,3589.0,769.0,504.0,265.0,21689.0
250,36005025400,025400,BX1102,Morris Park,1912.0,1375.0,91.0,0.0,144.0,0.0,172.0,130.0,83.0,47.0,33617.0
251,36005026500,026500,BX0701,University Heights (North)-Fordham,7426.0,1195.0,1326.0,0.0,221.0,0.0,4198.0,486.0,332.0,154.0,23004.0
252,36005026601,026601,BX1003,Pelham Bay-Country Club-City Island,3108.0,1457.0,298.0,68.0,183.0,0.0,870.0,232.0,190.0,42.0,39596.0
253,36005026602,026602,BX1003,Pelham Bay-Country Club-City Island,5229.0,2858.0,664.0,0.0,146.0,0.0,1500.0,61.0,14.0,47.0,31210.0
254,36005026701,026701,BX0801,Kingsbridge Heights-Van Cortlandt Village,3986.0,391.0,1216.0,86.0,394.0,0.0,1680.0,219.0,24.0,195.0,26192.0
255,36005026702,026702,BX0801,Kingsbridge Heights-Van Cortlandt Village,7862.0,1703.0,1618.0,0.0,0.0,0.0,3975.0,566.0,416.0,150.0,22708.0
256,36005027300,027300,BX0801,Kingsbridge Heights-Van Cortlandt Village,7312.0,1671.0,2295.0,0.0,83.0,93.0,2454.0,716.0,401.0,315.0,18791.0
257,36005027700,027700,BX0801,Kingsbridge Heights-Van Cortlandt Village,4503.0,1339.0,656.0,54.0,99.0,0.0,2067.0,288.0,160.0,128.0,19590.0
258,36005027900,027900,BX0801,Kingsbridge Heights-Van Cortlandt Village,7884.0,1966.0,1168.0,84.0,380.0,23.0,3120.0,1143.0,302.0,841.0,30157.0
259,36005028600,028600,BX1102,Morris Park,949.0,584.0,52.0,0.0,176.0,0.0,82.0,55.0,55.0,0.0,51071.0
260,36005028700,028700,BX0802,Kingsbridge-Marble Hill,3246.0,1272.0,489.0,85.0,175.0,0.0,1166.0,59.0,9.0,50.0,35269.0
261,36005028800,028800,BX1102,Morris Park,3251.0,2333.0,135.0,0.0,517.0,0.0,24.0,242.0,242.0,0.0,39492.0
262,36005029600,029600,BX1102,Morris Park,1807.0,957.0,282.0,8.0,291.0,0.0,208.0,61.0,61.0,0.0,34306.0
263,36005030000,030000,BX1003,Pelham Bay-Country Club-City Island,6407.0,2921.0,562.0,19.0,818.0,0.0,1774.0,313.0,77.0,236.0,37989.0
264,36005030100,030100,BX0803,Riverdale-Spuyten Duyvil,1463.0,970.0,163.0,0.0,54.0,0.0,183.0,93.0,29.0,64.0,51719.0
265,36005030201,030201,BX1004,Co-op City,3813.0,580.0,2782.0,0.0,0.0,0.0,433.0,18.0,0.0,18.0,31078.0
266,36005030701,030701,BX0803,Riverdale-Spuyten Duyvil,5826.0,4110.0,563.0,0.0,229.0,0.0,258.0,666.0,557.0,109.0,70300.0
267,36005030900,030900,BX0803,Riverdale-Spuyten Duyvil,4392.0,3459.0,397.0,0.0,119.0,0.0,289.0,128.0,32.0,96.0,35967.0
268,36005031200,031200,BX1103,Pelham Gardens,1531.0,648.0,365.0,0.0,145.0,0.0,330.0,43.0,16.0,27.0,42738.0
269,36005031400,031400,BX1103,Pelham Gardens,2085.0,1062.0,419.0,0.0,174.0,0.0,364.0,66.0,42.0,24.0,36500.0
270,36005031600,031600,BX1103,Pelham Gardens,1978.0,873.0,193.0,0.0,275.0,0.0,505.0,132.0,64.0,68.0,38636.0
271,36005031800,031800,BX1103,Pelham Gardens,2215.0,849.0,772.0,0.0,261.0,0.0,224.0,109.0,73.0,36.0,35691.0
272,36005031900,031900,BX0803,Riverdale-Spuyten Duyvil,141.0,69.0,57.0,0.0,8.0,0.0,0.0,7.0,0.0,7.0,2499.0
273,36005032400,032400,BX1104,Allerton,3286.0,653.0,828.0,0.0,502.0,5.0,1144.0,154.0,124.0,30.0,15326.0
274,36005032600,032600,BX1103,Pelham Gardens,3695.0,1335.0,464.0,4.0,861.0,0.0,620.0,411.0,288.0,123.0,38514.0
275,36005032800,032800,BX1104,Allerton,3989.0,945.0,650.0,72.0,261.0,0.0,1754.0,307.0,239.0,68.0,27156.0
276,36005033000,033000,BX1104,Allerton,5456.0,2788.0,1271.0,0.0,23.0,0.0,1112.0,262.0,133.0,129.0,31436.0
277,36005033201,033201,BX1104,Allerton,5303.0,2650.0,690.0,0.0,124.0,0.0,1747.0,92.0,19.0,73.0,24829.0
278,36005033202,033202,BX1104,Allerton,3821.0,930.0,1046.0,19.0,79.0,0.0,1342.0,405.0,188.0,217.0,33197.0
