Borough,County,Grade,Poverty Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
Staten Island,Richmond,11,Poverty,2018-19,435410,46411,388999,89.34085083,2687,760,28.28433228
Staten Island,Richmond,11,Not Poverty,2019-20,216851,12399,204452,94.28224945,1991,288,14.46509266
Staten Island,Richmond,11,Poverty,2019-20,271873,27899,243974,89.73822021,2511,659,26.244524
Staten Island,Richmond,11,Not Poverty,2020-21,325859,27177,298682,91.65988922,1894,377,19.90496254
Staten Island,Richmond,11,Poverty,2020-21,460339,77373,382966,83.19216919,2687,1021,37.9977684
Staten Island,Richmond,11,Not Poverty,2021-22,325668,30096,295572,90.75868988,1965,592,30.12722588
Staten Island,Richmond,11,Poverty,2021-22,447599,64270,383329,85.64116669,2705,1154,42.66173935
Staten Island,Richmond,11,Not Poverty,2022-23,285084,19549,265535,93.14272308,1764,328,18.59410477
Staten Island,Richmond,11,Poverty,2022-23,449240,50280,398960,88.80776215,2818,917,32.54080963
Staten Island,Richmond,12,Not Poverty,2018-19,283401,26824,256577,90.53496552,1721,512,29.75014496
Staten Island,Richmond,12,Poverty,2018-19,402535,55876,346659,86.11897278000001,2460,997,40.52845383
Staten Island,Richmond,12,Not Poverty,2019-20,203757,16108,187649,92.09450531,1857,461,24.82498741
Staten Island,Richmond,12,Poverty,2019-20,289694,38824,250870,86.59827423,2644,998,37.74583817
Staten Island,Richmond,12,Not Poverty,2020-21,320426,40451,279975,87.37586975,1853,624,33.67512131
Staten Island,Richmond,12,Poverty,2020-21,453229,91438,361791,79.82521057,2651,1248,47.07657623
Staten Island,Richmond,12,Not Poverty,2021-22,298267,37956,260311,87.27449036,1779,779,43.7886467
Staten Island,Richmond,12,Poverty,2021-22,433600,76204,357396,82.42527771,2616,1375,52.56116104
Staten Island,Richmond,12,Not Poverty,2022-23,277592,25666,251926,90.75405884,1699,533,31.37139511
Staten Island,Richmond,12,Poverty,2022-23,465212,66632,398580,85.67707062,2878,1288,44.75329971
