Borough,County,Grade,Poverty Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
Staten Island,Richmond,5,Poverty,2021-22,494953,52671,442282,89.35838318,2887,1153,39.93765259
Staten Island,Richmond,5,Not Poverty,2022-23,294420,18416,276004,93.74498749,1690,280,16.56804657
Staten Island,Richmond,5,Poverty,2022-23,510531,43933,466598,91.39464569,2987,931,31.168396
Staten Island,Richmond,6,Not Poverty,2018-19,320726,14248,306478,95.55757904,1826,171,9.364731789
Staten Island,Richmond,6,Poverty,2018-19,483402,37799,445603,92.18062592,2811,747,26.57417297
Staten Island,Richmond,6,Not Poverty,2019-20,200805,9073,191732,95.48168945,1771,187,10.55900574
Staten Island,Richmond,6,Poverty,2019-20,317087,24176,292911,92.37559509,2813,741,26.3419838
Staten Island,Richmond,6,Not Poverty,2020-21,307991,16265,291726,94.71900177,1803,276,15.30782032
Staten Island,Richmond,6,Poverty,2020-21,466521,69301,397220,85.14514923,2703,1215,44.95005417
Staten Island,Richmond,6,Not Poverty,2021-22,291102,20359,270743,93.00623322,1694,371,21.9008255
Staten Island,Richmond,6,Poverty,2021-22,458967,56951,402016,87.59148407,2686,1222,45.49515915
Staten Island,Richmond,6,Not Poverty,2022-23,282980,17627,265353,93.77093506,1631,293,17.96443939
Staten Island,Richmond,6,Poverty,2022-23,485506,46792,438714,90.36222076,2858,995,34.81455612
Staten Island,Richmond,7,Not Poverty,2018-19,319898,16368,303530,94.88336945,1822,236,12.95279884
Staten Island,Richmond,7,Poverty,2018-19,479451,39449,440002,91.77204895,2770,816,29.45848465
Staten Island,Richmond,7,Not Poverty,2019-20,208521,9995,198526,95.20671844,1829,204,11.15363598
Staten Island,Richmond,7,Poverty,2019-20,315142,26887,288255,91.46829224,2811,816,29.02881622
Staten Island,Richmond,7,Not Poverty,2020-21,329480,25158,304322,92.36433411,1906,442,23.18992615
Staten Island,Richmond,7,Poverty,2020-21,451778,73722,378056,83.68180846999999,2625,1242,47.31428528
Staten Island,Richmond,7,Not Poverty,2021-22,303080,22002,281078,92.74053192,1753,426,24.30119705
Staten Island,Richmond,7,Poverty,2021-22,474934,60508,414426,87.25970459,2782,1251,44.96764755
Staten Island,Richmond,7,Not Poverty,2022-23,293603,19748,273855,93.27391052,1686,363,21.53024864
Staten Island,Richmond,7,Poverty,2022-23,469358,51884,417474,88.945755,2760,1116,40.43478394
